HJD UT_Date Camera FWHM Limit mag mag_err flux(mJy) flux_err Filter
2458782.82053 2019-10-26.3175140 bk 1.45 15.853 13.484 0.025 14.670 0.332 g
2458783.44819 2019-10-26.9451736 bo 1.50 13.140 11.807 0.065 68.717 4.035 g
2458783.44940 2019-10-26.9463868 bo 1.52 13.259 11.814 0.058 68.302 3.614 g
2458783.45070 2019-10-26.9476946 bo 1.50 12.955 11.549 0.060 87.171 4.785 g
2458783.82334 2019-10-27.3203223 bG 1.42 15.818 13.178 0.019 19.439 0.345 g
2458783.82461 2019-10-27.3215952 bG 1.42 15.712 13.197 0.022 19.114 0.379 g
2458783.82588 2019-10-27.3228626 bG 1.44 15.913 13.207 0.018 18.925 0.318 g
2458784.82310 2019-10-28.3200892 bk 1.52 13.128 12.775 0.159 28.191 4.088 g
2458784.82432 2019-10-28.3213116 bk 1.45 13.349 12.750 0.128 28.843 3.365 g
#2458784.82553 2019-10-28.3225212 bk 1.45 99.990 99.990 99.990 99.990 99.990 g
2458785.77837 2019-10-29.2753686 bk 1.42 15.803 13.457 0.025 15.047 0.348 g
2458785.77958 2019-10-29.2765799 bk 1.41 15.899 13.375 0.022 16.210 0.319 g
2458785.78080 2019-10-29.2777995 bk 1.42 15.941 13.435 0.022 15.347 0.307 g
2458786.78281 2019-10-30.2798146 bk 1.46 13.449 12.301 0.076 43.606 3.033 g
2458786.78402 2019-10-30.2810351 bk 1.43 13.470 12.268 0.073 44.965 2.977 g
2458786.78525 2019-10-30.2822599 bk 1.40 13.230 12.223 0.087 46.856 3.710 g
2458787.71885 2019-10-31.2158754 bk 1.45 13.781 12.594 0.074 33.292 2.234 g
2458787.72007 2019-10-31.2170921 bk 1.49 13.962 12.697 0.069 30.295 1.891 g
2458787.72128 2019-10-31.2183043 bk 1.43 13.761 12.593 0.075 33.329 2.275 g
2458788.73108 2019-11-01.2281142 bk 1.60 12.295 10.792 0.055 175.085 8.779 g
2458788.73230 2019-11-01.2293254 bk 1.48 14.254 12.454 0.042 37.868 1.445 g
2458788.73351 2019-11-01.2305420 bk 1.50 13.003 11.433 0.052 96.946 4.579 g
2458789.54456 2019-11-02.0415936 bG 1.66 14.070 12.657 0.062 31.408 1.777 g
2458789.54585 2019-11-02.0428879 bG 1.67 13.689 11.721 0.043 74.403 2.896 g
2458789.54713 2019-11-02.0441701 bG 1.62 15.239 13.069 0.031 21.516 0.600 g
2458789.78443 2019-11-02.2814732 bk 1.44 13.745 11.136 0.020 127.544 2.344 g
2458789.78564 2019-11-02.2826831 bk 1.42 13.866 11.587 0.028 84.160 2.109 g
2458789.78687 2019-11-02.2839111 bk 1.50 13.176 10.180 0.017 307.571 4.794 g
2458791.39847 2019-11-03.8955262 bo 1.43 15.364 13.124 0.028 20.440 0.524 g
2458791.39967 2019-11-03.8967417 bo 1.46 15.335 13.102 0.028 20.852 0.537 g
2458791.40089 2019-11-03.8979493 bo 1.43 15.221 13.098 0.031 20.935 0.596 g
2458792.32991 2019-11-04.8269851 bo 1.46 14.718 12.910 0.042 24.894 0.945 g
2458792.33111 2019-11-04.8281892 bo 1.42 14.471 12.997 0.057 22.966 1.184 g
2458792.33234 2019-11-04.8294167 bo 1.49 14.940 12.991 0.037 23.098 0.770 g
2458792.63353 2019-11-05.1306072 bk 1.42 15.675 13.350 0.026 16.591 0.391 g
2458792.63475 2019-11-05.1318303 bk 1.43 15.799 13.417 0.025 15.597 0.349 g
2458792.63597 2019-11-05.1330541 bk 1.45 15.624 13.423 0.029 15.516 0.410 g
2458792.83431 2019-11-05.3313956 bk 1.45 15.724 13.374 0.025 16.234 0.374 g
2458792.83553 2019-11-05.3326123 bk 1.45 15.807 13.414 0.024 15.652 0.347 g
2458792.83675 2019-11-05.3338280 bk 1.41 15.672 13.370 0.026 16.291 0.393 g
2458793.31632 2019-11-05.8134111 bo 1.46 15.589 13.140 0.023 20.152 0.427 g
2458793.31755 2019-11-05.8146408 bo 1.45 15.434 13.105 0.026 20.797 0.490 g
2458793.31876 2019-11-05.8158601 bo 1.44 15.479 13.128 0.025 20.357 0.470 g
2458793.60450 2019-11-06.1015996 bk 1.70 15.586 13.335 0.028 16.827 0.424 g
2458793.60573 2019-11-06.1028208 bk 1.71 15.774 13.292 0.022 17.520 0.357 g
2458794.61736 2019-11-07.1144784 bk 1.36 15.585 13.422 0.030 15.530 0.425 g
2458794.61859 2019-11-07.1156999 bk 1.40 15.706 13.465 0.028 14.932 0.380 g
2458794.61982 2019-11-07.1169283 bk 1.45 16.001 13.368 0.019 16.330 0.290 g
2458795.33600 2019-11-07.8331221 bo 1.46 15.497 13.158 0.026 19.804 0.464 g
2458795.33722 2019-11-07.8343402 bo 1.44 15.461 13.071 0.024 21.472 0.480 g
2458795.33842 2019-11-07.8355478 bo 1.45 15.355 13.140 0.029 20.125 0.527 g
2458795.65219 2019-11-08.1493175 bk 1.45 15.772 13.365 0.024 16.364 0.358 g
2458795.65341 2019-11-08.1505319 bk 1.44 15.630 13.460 0.030 14.993 0.408 g
2458796.77797 2019-11-09.2751175 bk 1.47 15.335 13.375 0.036 16.224 0.535 g
2458796.77919 2019-11-09.2763359 bk 1.48 15.401 13.374 0.034 16.233 0.503 g
2458796.78041 2019-11-09.2775513 bk 1.53 15.315 13.372 0.037 16.264 0.545 g
2458797.42527 2019-11-09.9224270 bo 1.42 15.147 13.044 0.032 21.998 0.640 g
2458797.42648 2019-11-09.9236344 bo 1.47 15.084 13.022 0.033 22.445 0.678 g
2458797.42768 2019-11-09.9248407 bo 1.48 15.367 13.083 0.027 21.230 0.523 g
2458797.62295 2019-11-10.1201149 bk 1.52 15.436 13.405 0.034 15.776 0.487 g
2458797.62417 2019-11-10.1213351 bk 1.52 15.473 13.396 0.033 15.900 0.471 g
2458797.62540 2019-11-10.1225547 bk 1.56 15.520 13.431 0.032 15.406 0.451 g
2458798.68023 2019-11-11.1774162 bk 1.48 15.581 13.393 0.029 15.951 0.428 g
2458798.68144 2019-11-11.1786271 bk 1.52 15.358 13.420 0.037 15.558 0.524 g
2458798.68267 2019-11-11.1798571 bk 1.46 15.466 13.444 0.034 15.215 0.474 g
2458799.51466 2019-11-12.0118575 bo 1.53 15.442 13.128 0.026 20.362 0.489 g
2458799.51707 2019-11-12.0142723 bo 1.45 15.051 13.086 0.036 21.171 0.697 g
2458799.85499 2019-11-12.3522004 bk 1.46 15.320 13.476 0.040 14.785 0.543 g
2458799.85621 2019-11-12.3534126 bk 1.44 15.369 13.541 0.041 13.917 0.519 g
2458799.85743 2019-11-12.3546318 bk 1.54 15.236 13.444 0.042 15.222 0.587 g
2458800.68540 2019-11-13.1826201 bk 1.44 15.662 13.473 0.029 14.823 0.397 g
2458800.68662 2019-11-13.1838440 bk 1.47 15.369 13.511 0.040 14.311 0.518 g
2458800.68784 2019-11-13.1850608 bk 1.48 15.553 13.484 0.033 14.659 0.437 g
2458800.69590 2019-11-13.1931263 bG 1.48 15.481 13.255 0.028 18.112 0.470 g
2458801.76573 2019-11-14.2629820 bk 1.61 15.500 13.350 0.030 16.591 0.460 g
2458801.76696 2019-11-14.2642079 bk 1.62 15.331 13.437 0.038 15.328 0.537 g
2458801.76819 2019-11-14.2654353 bk 1.62 15.450 13.474 0.036 14.817 0.481 g
2458802.46281 2019-11-14.9600732 bo 1.44 15.323 13.023 0.026 22.430 0.542 g
2458802.46402 2019-11-14.9612795 bo 1.47 15.379 13.085 0.027 21.193 0.516 g
2458802.46523 2019-11-14.9624880 bo 1.46 15.309 13.068 0.028 21.533 0.549 g
2458802.82751 2019-11-15.3247812 bG 1.53 15.366 13.235 0.031 18.446 0.521 g
2458802.82878 2019-11-15.3260475 bG 1.55 15.528 13.253 0.027 18.146 0.450 g
2458802.83006 2019-11-15.3273245 bG 1.50 15.466 13.244 0.028 18.307 0.475 g
2458803.56418 2019-11-16.0614614 bo 1.50 15.280 13.076 0.029 21.372 0.565 g
2458803.56538 2019-11-16.0626668 bo 1.46 15.448 13.065 0.025 21.566 0.485 g
2458803.56658 2019-11-16.0638658 bo 1.49 15.456 13.048 0.024 21.910 0.481 g
2458803.68338 2019-11-16.1806706 bk 1.47 15.553 13.452 0.032 15.105 0.438 g
2458803.68460 2019-11-16.1818934 bk 1.42 15.622 13.473 0.030 14.828 0.410 g
2458803.68581 2019-11-16.1831090 bk 1.45 15.584 13.433 0.030 15.379 0.425 g
2458803.85689 2019-11-16.3541898 bk 1.50 15.504 13.455 0.033 15.065 0.459 g
2458803.85812 2019-11-16.3554113 bk 1.54 15.615 13.457 0.030 15.043 0.414 g
2458803.85933 2019-11-16.3566362 bk 1.53 15.357 13.420 0.037 15.567 0.524 g
2458804.67982 2019-11-17.1771329 bG 1.40 15.566 13.217 0.025 18.759 0.434 g
2458804.68109 2019-11-17.1784078 bG 1.44 15.608 13.176 0.023 19.486 0.417 g
2458804.68236 2019-11-17.1796704 bG 1.41 15.702 13.179 0.022 19.429 0.383 g
2458804.85081 2019-11-17.3481342 bk 1.48 15.614 13.451 0.030 15.123 0.415 g
2458804.85205 2019-11-17.3493781 bk 1.45 15.588 13.375 0.029 16.222 0.424 g
2458804.85327 2019-11-17.3505957 bk 1.47 15.403 13.523 0.039 14.156 0.502 g
2458805.67741 2019-11-18.1747534 bk 1.45 15.692 13.364 0.026 16.396 0.385 g
2458805.67863 2019-11-18.1759681 bk 1.46 15.662 13.365 0.027 16.363 0.396 g
2458805.67984 2019-11-18.1771873 bk 1.48 15.706 13.419 0.027 15.570 0.380 g
2458805.84801 2019-11-18.3453508 bk 1.46 15.596 13.445 0.030 15.206 0.421 g
2458805.84923 2019-11-18.3465782 bk 1.42 15.589 13.381 0.029 16.124 0.424 g
2458805.85045 2019-11-18.3477986 bk 1.42 15.522 13.435 0.032 15.336 0.450 g
2458806.67036 2019-11-19.1677300 bG 1.42 15.808 13.219 0.020 18.714 0.348 g
2458806.67162 2019-11-19.1689928 bG 1.43 15.675 13.262 0.024 17.991 0.393 g
2458806.67291 2019-11-19.1702761 bG 1.43 15.765 13.295 0.023 17.458 0.362 g
2458806.84841 2019-11-19.3457805 bk 1.50 15.560 13.439 0.031 15.291 0.435 g
2458806.84963 2019-11-19.3470053 bk 1.44 15.642 13.360 0.027 16.449 0.404 g
2458806.85086 2019-11-19.3482269 bk 1.47 15.711 13.377 0.026 16.187 0.379 g
#2458807.48847 2019-11-19.9858614 bo 1.45 99.990 99.990 99.990 99.990 99.990 g
#2458807.48968 2019-11-19.9870702 bo 1.43 99.990 99.990 99.990 99.990 99.990 g
2458807.69111 2019-11-20.1885003 bG 1.41 15.701 13.237 0.023 18.426 0.383 g
2458807.69237 2019-11-20.1897613 bG 1.46 15.624 13.115 0.022 20.606 0.412 g
2458807.69364 2019-11-20.1910321 bG 1.41 15.682 13.210 0.023 18.881 0.390 g
2458807.86185 2019-11-20.3592450 bG 1.49 15.556 13.234 0.026 18.459 0.439 g
2458807.86312 2019-11-20.3605230 bG 1.46 15.326 13.263 0.033 17.978 0.541 g
2458808.49389 2019-11-20.9913175 bo 1.43 15.450 13.090 0.025 21.100 0.484 g
2458808.49511 2019-11-20.9925253 bo 1.43 15.517 13.112 0.024 20.657 0.455 g
2458808.49633 2019-11-20.9937423 bo 1.42 15.553 13.147 0.024 20.009 0.442 g
2458808.68826 2019-11-21.1856763 bG 1.47 15.650 13.273 0.025 17.822 0.402 g
2458808.68956 2019-11-21.1869800 bG 1.45 15.721 13.183 0.021 19.370 0.376 g
2458808.69082 2019-11-21.1882407 bG 1.49 15.638 13.220 0.024 18.705 0.406 g
2458808.85499 2019-11-21.3524156 bG 1.46 15.470 13.239 0.028 18.380 0.474 g
2458808.85633 2019-11-21.3537532 bG 1.46 15.976 13.179 0.017 19.429 0.299 g
2458808.85758 2019-11-21.3550021 bG 1.51 15.507 13.210 0.027 18.880 0.458 g
2458809.46760 2019-11-21.9650366 bo 1.44 15.538 13.115 0.024 20.625 0.447 g
2458809.46882 2019-11-21.9662574 bo 1.42 15.619 13.049 0.021 21.895 0.415 g
2458809.47004 2019-11-21.9674777 bo 1.43 15.547 13.061 0.022 21.669 0.442 g
2458809.83590 2019-11-22.3333478 bG 1.54 15.561 13.193 0.025 19.172 0.437 g
2458809.83717 2019-11-22.3346207 bG 1.62 15.603 13.297 0.026 17.429 0.419 g
2458809.83843 2019-11-22.3358819 bG 1.62 15.577 13.188 0.024 19.265 0.429 g
#2458810.39302 2019-11-22.8904891 bo 1.44 99.990 99.990 99.990 99.990 99.990 g
#2458810.39426 2019-11-22.8917365 bo 1.42 99.990 99.990 99.990 99.990 99.990 g
2458810.84383 2019-11-23.3413202 bk 1.41 15.737 13.439 0.026 15.292 0.370 g
2458810.84505 2019-11-23.3425357 bk 1.45 15.602 13.406 0.029 15.759 0.419 g
2458810.84627 2019-11-23.3437583 bk 1.42 15.802 13.444 0.025 15.209 0.349 g
2458811.84902 2019-11-24.3465265 bG 1.47 15.696 13.216 0.022 18.770 0.385 g
2458811.85029 2019-11-24.3478012 bG 1.45 15.495 13.185 0.026 19.327 0.462 g
2458811.85156 2019-11-24.3490730 bG 1.46 15.580 13.215 0.025 18.802 0.428 g
#2458812.53382 2019-11-25.0313560 bo 1.60 99.990 99.990 99.990 99.990 99.990 g
#2458812.53504 2019-11-25.0325717 bo 1.62 99.990 99.990 99.990 99.990 99.990 g
2458813.44715 2019-11-25.9447174 bo 1.42 15.620 13.057 0.021 21.737 0.415 g
2458813.44837 2019-11-25.9459282 bo 1.43 15.578 13.034 0.021 22.190 0.432 g
2458813.44957 2019-11-25.9471309 bo 1.45 15.660 13.033 0.020 22.217 0.400 g
2458813.81893 2019-11-26.3165049 bk 1.65 15.675 13.276 0.024 17.764 0.391 g
2458813.82015 2019-11-26.3177244 bk 1.67 15.746 13.232 0.022 18.504 0.367 g
2458813.82137 2019-11-26.3189396 bk 1.66 15.670 13.225 0.023 18.620 0.393 g
2458814.49464 2019-11-26.9922438 bo 1.49 15.486 13.033 0.023 22.224 0.468 g
2458815.53215 2019-11-28.0297861 bo 1.56 15.552 13.056 0.022 21.755 0.443 g
2458815.53338 2019-11-28.0310121 bo 1.58 15.548 13.010 0.021 22.715 0.442 g
2458815.53460 2019-11-28.0322291 bo 1.58 15.474 13.035 0.023 22.199 0.474 g
2458815.83996 2019-11-28.3375983 bG 1.46 15.613 13.266 0.025 17.928 0.414 g
2458815.84123 2019-11-28.3388729 bG 1.45 15.747 13.263 0.022 17.978 0.367 g
2458816.83662 2019-11-29.3342921 bG 1.45 15.579 13.239 0.025 18.390 0.428 g
2458816.83789 2019-11-29.3355629 bG 1.49 15.730 13.145 0.020 20.036 0.374 g
2458817.48675 2019-11-29.9844472 bo 1.49 15.485 13.091 0.024 21.065 0.468 g
2458817.48806 2019-11-29.9857605 bo 1.43 15.665 13.074 0.020 21.400 0.399 g
2458817.48940 2019-11-29.9871049 bo 1.49 15.629 13.095 0.021 20.993 0.411 g
2458817.82658 2019-11-30.3242880 bG 1.48 15.537 13.312 0.028 17.193 0.445 g
2458817.82785 2019-11-30.3255578 bG 1.50 15.660 13.222 0.023 18.678 0.398 g
2458817.82913 2019-11-30.3268329 bG 1.50 15.637 13.273 0.025 17.821 0.406 g
2458819.37621 2019-12-01.8739724 bo 1.43 15.376 13.067 0.026 21.535 0.517 g
#2458819.37743 2019-12-01.8751928 bo 1.46 99.990 99.990 99.990 99.990 99.990 g
#2458819.37864 2019-12-01.8763961 bo 1.44 99.990 99.990 99.990 99.990 99.990 g
2458819.82346 2019-12-02.3212369 bG 1.42 15.893 13.173 0.018 19.531 0.323 g
2458819.82472 2019-12-02.3224981 bG 1.47 15.609 13.195 0.024 19.140 0.418 g
2458819.82599 2019-12-02.3237656 bG 1.44 15.614 13.221 0.024 18.692 0.415 g
2458820.37703 2019-12-02.8748234 bo 1.46 15.444 13.051 0.024 21.867 0.485 g
2458820.37825 2019-12-02.8760415 bo 1.47 15.554 12.947 0.020 24.050 0.441 g
2458820.37945 2019-12-02.8772442 bo 1.45 15.425 13.102 0.026 20.847 0.494 g
2458821.78687 2019-12-04.2847166 bG 1.44 15.471 13.234 0.028 18.475 0.473 g
2458821.78814 2019-12-04.2859880 bG 1.42 15.501 13.170 0.027 19.584 0.471 g
2458821.78941 2019-12-04.2872543 bG 1.45 15.442 13.082 0.025 21.249 0.488 g
2458822.57090 2019-12-05.0687857 bk 1.45 15.672 13.330 0.025 16.899 0.393 g
2458822.57213 2019-12-05.0700170 bk 1.44 15.778 13.393 0.025 15.944 0.356 g
2458822.57336 2019-12-05.0712408 bk 1.46 15.816 13.375 0.023 16.220 0.344 g
2458822.78764 2019-12-05.2855219 bG 1.45 15.627 13.167 0.023 19.645 0.411 g
2458822.78890 2019-12-05.2867843 bG 1.45 15.858 13.157 0.018 19.836 0.334 g
2458822.79017 2019-12-05.2880626 bG 1.46 15.574 13.204 0.025 18.983 0.431 g
2458823.59572 2019-12-06.0936440 bG 1.44 15.500 13.159 0.025 19.783 0.460 g
2458823.59700 2019-12-06.0949156 bG 1.46 15.548 13.145 0.024 20.060 0.441 g
2458823.59828 2019-12-06.0961958 bG 1.43 15.484 13.117 0.025 20.576 0.469 g
2458825.79618 2019-12-08.2941804 bk 1.41 15.579 13.444 0.031 15.217 0.428 g
2458825.79740 2019-12-08.2954104 bk 1.45 15.539 13.341 0.029 16.721 0.444 g
2458825.79862 2019-12-08.2966342 bk 1.38 15.591 13.466 0.031 14.908 0.422 g
2458826.71759 2019-12-09.2156371 bG 1.46 15.513 13.337 0.030 16.796 0.454 g
2458826.71885 2019-12-09.2169049 bG 1.43 15.425 13.231 0.029 18.526 0.493 g
2458826.72014 2019-12-09.2181847 bG 1.42 15.496 13.295 0.029 17.452 0.462 g
2458829.58599 2019-12-12.08415 bG 1.54 15.287 13.180 0.032 19.400 0.559 g
2458829.58726 2019-12-12.0854302 bG 1.47 15.356 13.251 0.032 18.184 0.525 g
2458830.46467 2019-12-12.9628706 bo 1.42 15.195 13.095 0.032 20.978 0.610 g
2458831.61178 2019-12-14.1100398 bk 1.57 15.559 13.405 0.030 15.765 0.436 g
2458831.61300 2019-12-14.1112497 bk 1.61 15.573 13.363 0.029 16.399 0.430 g
2458831.61422 2019-12-14.1124701 bk 1.56 15.560 13.374 0.029 16.232 0.435 g
2458831.78716 2019-12-14.2854103 bk 1.47 15.465 13.442 0.034 15.247 0.475 g
2458831.78837 2019-12-14.2866341 bk 1.43 15.641 13.358 0.027 16.479 0.405 g
2458831.78959 2019-12-14.2878521 bk 1.46 15.486 13.376 0.032 16.198 0.467 g
2458832.57059 2019-12-15.0688811 bG 1.47 15.557 13.250 0.026 18.202 0.438 g
2458832.57187 2019-12-15.0701567 bG 1.47 15.658 13.240 0.024 18.361 0.399 g
2458832.57313 2019-12-15.0714190 bG 1.46 15.625 13.178 0.023 19.441 0.411 g
2458832.75788 2019-12-15.2561819 bk 2.36 15.322 13.160 0.030 19.770 0.542 g
2458832.75911 2019-12-15.2574072 bk 2.30 15.382 13.138 0.028 20.167 0.513 g
2458832.76034 2019-12-15.2586344 bk 2.40 15.294 13.071 0.028 21.458 0.558 g
2458833.59102 2019-12-16.0893572 bG 1.45 15.740 13.235 0.022 18.454 0.370 g
2458833.59230 2019-12-16.0906371 bG 1.42 15.721 13.213 0.022 18.829 0.376 g
2458833.59357 2019-12-16.0919062 bG 1.42 15.436 13.187 0.028 19.285 0.488 g
2458833.76208 2019-12-16.2604282 bk 1.47 15.384 13.412 0.036 15.682 0.512 g
2458833.76331 2019-12-16.2616559 bk 1.41 15.522 13.446 0.033 15.192 0.451 g
2458833.76453 2019-12-16.2628753 bk 1.45 15.626 13.398 0.028 15.878 0.411 g
2458834.60284 2019-12-17.1012207 bk 1.53 15.685 13.366 0.026 16.358 0.388 g
2458834.60405 2019-12-17.1024386 bk 1.54 15.735 13.312 0.024 17.198 0.371 g
2458834.60527 2019-12-17.1036583 bk 1.56 15.740 13.360 0.025 16.450 0.368 g
2458834.77332 2019-12-17.2717123 bG 1.45 15.744 13.203 0.021 19.001 0.368 g
2458834.77459 2019-12-17.2729787 bG 1.43 15.698 13.226 0.023 18.604 0.386 g
2458834.77586 2019-12-17.2742482 bG 1.47 15.431 13.238 0.029 18.398 0.491 g
2458835.61353 2019-12-18.1119593 bk 1.41 15.793 13.361 0.023 16.441 0.352 g
2458835.61475 2019-12-18.1131788 bk 1.41 15.741 13.381 0.025 16.132 0.368 g
2458835.61597 2019-12-18.1144075 bk 1.44 15.712 13.386 0.026 16.063 0.379 g
2458836.61515 2019-12-19.1136189 bG 1.45 15.743 13.208 0.021 18.915 0.370 g
2458836.61642 2019-12-19.1148940 bG 1.44 15.779 13.206 0.021 18.944 0.357 g
2458836.61771 2019-12-19.1161796 bG 1.43 15.665 13.259 0.024 18.041 0.396 g
2458836.78300 2019-12-19.2814768 bG 1.45 15.638 13.222 0.024 18.668 0.406 g
#2458837.50795 2019-12-20.0064624 bo 1.42 99.990 99.990 99.990 99.990 99.990 g
2458837.59240 2019-12-20.0909184 bG 1.45 15.562 13.220 0.025 18.707 0.435 g
2458837.59367 2019-12-20.0922 bG 1.42 15.702 13.205 0.022 18.961 0.382 g
2458837.59495 2019-12-20.0934697 bG 1.49 15.645 13.137 0.022 20.196 0.405 g
2458837.77803 2019-12-20.2765552 bG 1.45 15.645 13.184 0.023 19.343 0.404 g
2458837.77929 2019-12-20.2778290 bG 1.46 15.741 13.247 0.022 18.254 0.370 g
2458837.78057 2019-12-20.2790958 bG 1.44 15.655 13.209 0.023 18.896 0.400 g
2458838.77140 2019-12-21.2699777 bk 1.47 15.468 13.354 0.031 16.542 0.474 g
2458840.71050 2019-12-23.2091737 bk 1.43 15.695 13.413 0.027 15.669 0.384 g
2458840.71172 2019-12-23.2103825 bk 1.42 15.788 13.378 0.024 16.186 0.353 g
2458840.71292 2019-12-23.2115893 bk 1.41 15.672 13.388 0.027 16.027 0.392 g
2458841.44708 2019-12-23.9457788 bo 1.45 15.613 13.038 0.021 22.121 0.417 g
2458841.44830 2019-12-23.9469975 bo 1.46 15.513 13.015 0.022 22.593 0.455 g
2458841.44951 2019-12-23.9482180 bo 1.41 15.548 13.015 0.021 22.606 0.444 g
2458841.76501 2019-12-24.2637223 bG 1.40 15.694 13.233 0.023 18.489 0.386 g
2458841.76628 2019-12-24.265 bG 1.43 15.676 13.267 0.024 17.906 0.391 g
2458842.49665 2019-12-24.9954031 bo 1.40 15.472 13.084 0.024 21.213 0.474 g
2458842.49787 2019-12-24.9966247 bo 1.40 15.504 13.024 0.022 22.410 0.461 g
2458842.49908 2019-12-24.9978381 bo 1.45 15.375 13.058 0.026 21.723 0.517 g
2458842.75844 2019-12-25.2572034 bk 1.44 15.666 13.395 0.027 15.921 0.395 g
2458842.75966 2019-12-25.2584212 bk 1.43 15.568 13.396 0.030 15.911 0.431 g
2458842.76089 2019-12-25.2596523 bk 1.42 15.690 13.389 0.026 16.004 0.387 g
2458843.76142 2019-12-26.2602344 bG 1.45 15.595 13.170 0.024 19.594 0.423 g
2458843.76284 2019-12-26.2616531 bG 1.46 15.500 13.162 0.026 19.734 0.461 g
2458843.76410 2019-12-26.2629103 bG 1.43 15.658 13.124 0.021 20.440 0.398 g
2458844.73784 2019-12-27.2366972 bG 1.43 15.613 13.204 0.024 18.999 0.416 g
2458844.74036 2019-12-27.2392230 bG 1.45 15.529 13.190 0.026 19.241 0.449 g
2458846.75546 2019-12-29.2544253 bG 1.41 15.570 13.329 0.028 16.931 0.431 g
2458847.41700 2019-12-29.916 bo 1.54 15.431 12.946 0.022 24.082 0.492 g
2458847.41821 2019-12-29.9172170 bo 1.52 15.509 12.952 0.021 23.933 0.458 g
2458847.41944 2019-12-29.9184437 bo 1.51 15.458 12.913 0.021 24.820 0.481 g
2458847.75183 2019-12-30.2508400 bG 1.51 15.682 13.202 0.022 19.030 0.390 g
2458849.30871 2019-12-31.8077986 bo 1.43 15.519 13.008 0.022 22.738 0.453 g
2458849.30994 2019-12-31.8090357 bo 1.48 15.495 12.993 0.022 23.063 0.463 g
2458849.31118 2019-12-31.8102775 bo 1.46 15.321 12.993 0.026 23.054 0.542 g
2458849.74466 2020-01-01.2437680 bG 1.41 15.788 13.268 0.022 17.891 0.354 g
2458849.74593 2020-01-01.2450445 bG 1.43 15.694 13.257 0.023 18.077 0.385 g
2458849.74721 2020-01-01.2463199 bG 1.42 15.462 13.233 0.028 18.485 0.477 g
2458850.63622 2020-01-02.1353908 bk 1.45 15.797 13.370 0.024 16.300 0.350 g
2458851.53995 2020-01-03.0391510 bG 1.61 15.373 13.233 0.031 18.488 0.516 g
2458851.54121 2020-01-03.0404148 bG 1.49 15.720 13.244 0.023 18.288 0.377 g
2458851.54249 2020-01-03.0416906 bG 1.49 15.551 13.167 0.024 19.645 0.440 g
2458852.73266 2020-01-04.2319231 bG 1.45 15.671 13.177 0.022 19.465 0.394 g
2458852.73393 2020-01-04.2331971 bG 1.44 15.690 13.235 0.023 18.461 0.387 g
2458852.73521 2020-01-04.2344714 bG 1.44 15.794 13.174 0.020 19.521 0.352 g
2458854.73285 2020-01-06.2322207 bG 1.47 15.335 13.185 0.030 19.324 0.536 g
2458855.35711 2020-01-06.8565100 bo 1.59 15.373 12.965 0.024 23.646 0.519 g
2458855.35832 2020-01-06.8577265 bo 1.58 15.313 12.977 0.026 23.413 0.548 g
2458855.35954 2020-01-06.8589422 bo 1.56 15.329 12.994 0.026 23.018 0.540 g
2458855.73040 2020-01-07.2298236 bG 1.52 15.303 13.298 0.035 17.410 0.552 g
2458857.58859 2020-01-09.0881077 bG 1.45 15.569 13.296 0.027 17.448 0.433 g
2458857.58985 2020-01-09.0893712 bG 1.41 15.590 13.292 0.027 17.517 0.424 g
2458858.57907 2020-01-10.0786405 bG 1.44 15.552 13.248 0.026 18.229 0.440 g
2458858.58033 2020-01-10.0798979 bG 1.47 15.259 13.214 0.033 18.816 0.574 g
2458858.58160 2020-01-10.0811748 bG 1.42 15.323 13.168 0.030 19.636 0.542 g
2458859.36066 2020-01-10.8602760 bo 1.55 15.302 12.991 0.026 23.097 0.555 g
2458859.36188 2020-01-10.8614965 bo 1.46 15.116 13.072 0.034 21.447 0.657 g
2458859.36309 2020-01-10.8627042 bo 1.50 15.413 13.053 0.025 21.808 0.502 g
2458859.71399 2020-01-11.2136331 bG 1.56 15.335 13.274 0.033 17.803 0.536 g
2458859.71528 2020-01-11.2149211 bG 1.80 13.193 12.115 0.083 51.785 3.946 g
2458859.71657 2020-01-11.2161960 bG 1.61 14.276 12.882 0.062 25.557 1.427 g
2458860.63568 2020-01-12.1353539 bG 1.47 15.535 13.341 0.029 16.742 0.447 g
2458862.70579 2020-01-14.2055863 bG 1.46 15.310 13.202 0.032 19.036 0.549 g
2458862.70707 2020-01-14.2068650 bG 1.45 15.375 13.221 0.030 18.689 0.516 g
2458863.43594 2020-01-14.9357670 bo 1.55 15.165 13.004 0.030 22.842 0.627 g
2458863.43732 2020-01-14.9371505 bo 1.55 15.176 12.980 0.029 23.336 0.622 g
2458863.43853 2020-01-14.9383642 bo 1.50 15.268 13.049 0.029 21.882 0.572 g
2458863.69137 2020-01-15.1912133 bk 1.47 15.516 13.324 0.029 16.997 0.454 g
2458863.69259 2020-01-15.1924339 bk 1.49 15.331 13.360 0.036 16.449 0.537 g
2458863.69382 2020-01-15.1936612 bk 1.36 15.462 13.318 0.031 17.094 0.476 g
2458864.42476 2020-01-15.9246356 bo 1.53 15.346 12.980 0.025 23.347 0.532 g
2458864.42596 2020-01-15.9258445 bo 1.52 15.380 13.021 0.025 22.464 0.515 g
2458864.69793 2020-01-16.1978260 bG 1.48 15.523 13.140 0.024 20.144 0.453 g
