HJD UT_Date Camera FWHM Limit mag mag_err flux(mJy) flux_err Filter
2457055.64886 2015-02-02.1492644 be 1.90 15.393 12.730 0.019 31.043 0.540 V
2457055.65032 2015-02-02.1507311 be 1.87 15.322 12.683 0.019 32.403 0.575 V
2457060.59781 2015-02-07.0984604 be 1.42 15.568 12.729 0.016 31.055 0.458 V
2457060.59926 2015-02-07.0999089 be 1.40 15.606 12.776 0.016 29.751 0.443 V
2457066.55929 2015-02-13.0602346 be 1.40 15.838 12.886 0.014 26.870 0.357 V
2457066.56071 2015-02-13.0616533 be 1.40 15.852 12.873 0.014 27.206 0.353 V
2457071.59923 2015-02-18.1004136 be 1.44 15.823 12.805 0.014 28.970 0.363 V
2457071.60070 2015-02-18.1018781 be 1.43 15.884 12.874 0.014 27.167 0.343 V
2457078.52375 2015-02-25.0252321 be 1.62 15.685 12.923 0.017 25.989 0.412 V
2457078.52518 2015-02-25.0266638 be 1.61 15.814 13.005 0.016 24.103 0.365 V
2457083.56444 2015-03-02.0661236 be 1.51 15.561 12.803 0.017 29.030 0.461 V
2457083.56586 2015-03-02.0675407 be 1.47 15.674 12.814 0.016 28.746 0.416 V
2457088.54774 2015-03-07.0496107 be 1.82 15.354 12.963 0.024 25.060 0.556 V
2457089.54652 2015-03-08.0484274 be 1.65 15.620 12.895 0.018 26.646 0.437 V
2457089.54793 2015-03-08.0498342 be 1.66 15.481 12.765 0.018 30.061 0.497 V
2457097.51916 2015-03-16.0213243 be 1.46 15.405 12.913 0.022 26.218 0.533 V
2457097.52058 2015-03-16.0227349 be 1.48 15.361 12.776 0.020 29.745 0.553 V
2457101.50120 2015-03-20.0038734 be 1.90 15.035 12.640 0.024 33.713 0.746 V
2457101.50278 2015-03-20.0054532 be 1.86 15.214 12.580 0.019 35.654 0.635 V
2457107.50435 2015-03-26.0071642 be 1.78 15.569 12.620 0.014 34.344 0.459 V
2457107.50578 2015-03-26.0085907 be 1.66 15.661 12.698 0.014 31.965 0.422 V
2457111.48819 2015-03-29.9910751 be 2.50 15.403 12.332 0.014 44.767 0.555 V
2457111.49003 2015-03-29.9929155 be 2.46 15.370 12.651 0.018 33.362 0.559 V
2457181.93907 2015-06-08.4410665 be 1.49 15.626 12.858 0.017 27.593 0.434 V
2457181.94049 2015-06-08.4424836 be 1.48 15.275 12.863 0.024 27.463 0.598 V
2457188.93467 2015-06-15.4363754 be 1.45 15.815 12.921 0.015 26.035 0.365 V
2457188.93607 2015-06-15.4377755 be 1.46 15.721 13.081 0.019 22.471 0.398 V
2457189.92913 2015-06-16.4307959 be 1.52 15.797 12.899 0.015 26.580 0.371 V
2457189.93055 2015-06-16.4322140 be 1.45 15.727 12.872 0.016 27.247 0.395 V
2457193.92117 2015-06-20.4226553 be 1.92 15.434 12.657 0.017 33.200 0.520 V
2457193.92257 2015-06-20.4240621 be 2.01 15.536 12.650 0.015 33.413 0.477 V
2457198.90356 2015-06-25.4048140 be 1.65 15.734 12.638 0.013 33.774 0.397 V
2457198.90496 2015-06-25.4062185 be 1.62 15.722 12.849 0.016 27.804 0.398 V
2457205.88523 2015-07-02.3861484 be 1.48 15.302 12.936 0.025 25.672 0.584 V
2457205.88663 2015-07-02.38755 be 1.46 15.289 12.970 0.026 24.894 0.592 V
2457207.89158 2015-07-04.3924010 be 1.63 14.301 12.493 0.042 38.618 1.464 V
2457207.89299 2015-07-04.3938149 be 1.57 14.124 12.495 0.049 38.513 1.726 V
2457210.91696 2015-07-07.4176285 be 1.40 15.607 12.881 0.018 27.009 0.441 V
2457210.91838 2015-07-07.4190440 be 1.38 15.622 12.919 0.018 26.075 0.436 V
2457218.85102 2015-07-15.3512811 bg 1.54 15.781 12.964 0.016 25.016 0.378 V
2457218.85243 2015-07-15.3526967 bg 1.55 15.835 12.994 0.016 24.350 0.359 V
2457219.87334 2015-07-16.3735540 bg 2.08 15.304 11.856 0.010 69.443 0.669 V
2457219.87475 2015-07-16.3749660 bg 2.07 15.354 11.881 0.010 67.833 0.618 V
2457221.84337 2015-07-18.3434806 bg 2.14 15.544 12.171 0.010 51.952 0.484 V
2457221.84477 2015-07-18.3448817 bg 2.06 15.601 12.290 0.010 46.528 0.460 V
2457222.84976 2015-07-19.3498186 be 1.74 15.576 12.577 0.014 35.753 0.456 V
2457222.85116 2015-07-19.3512232 be 1.79 15.131 12.628 0.022 34.094 0.684 V
2457223.85507 2015-07-20.3550790 bg 1.66 15.708 12.700 0.014 31.900 0.404 V
2457224.84750 2015-07-21.3474557 be 1.51 15.841 12.874 0.014 27.178 0.360 V
2457224.84890 2015-07-21.3488597 be 1.54 15.813 12.904 0.015 26.445 0.369 V
2457227.86375 2015-07-24.3635540 bg 1.47 15.838 12.891 0.014 26.770 0.366 V
2457227.86504 2015-07-24.3648400 bg 1.47 15.771 12.789 0.014 29.406 0.385 V
2457227.86633 2015-07-24.3661357 be 1.75 15.687 12.545 0.012 36.808 0.421 V
2457231.80814 2015-07-28.3077368 bg 1.89 13.858 12.414 0.060 41.532 2.287 V
2457231.80943 2015-07-28.3090239 bg 2.01 13.879 12.372 0.055 43.143 2.160 V
2457234.80882 2015-07-31.3082677 be 1.62 15.232 12.742 0.022 30.703 0.627 V
2457234.81011 2015-07-31.3095539 be 1.55 15.336 12.879 0.023 27.064 0.568 V
2457235.86417 2015-08-01.3635567 be 1.76 13.459 12.349 0.079 44.121 3.191 V
2457235.86545 2015-08-01.3648425 be 1.52 14.116 12.526 0.051 37.453 1.744 V
2457237.80004 2015-08-03.2993377 be 1.58 14.689 12.908 0.043 26.346 1.031 V
2457237.80134 2015-08-03.3006305 be 1.50 14.788 12.854 0.037 27.698 0.936 V
2457249.75962 2015-08-15.2583321 be 1.54 15.693 12.757 0.015 30.287 0.408 V
2457249.76093 2015-08-15.2596410 be 1.57 15.836 12.827 0.014 28.391 0.359 V
2457252.83228 2015-08-18.3308472 be 1.80 15.742 12.756 0.014 30.295 0.392 V
2457252.83358 2015-08-18.3321490 be 1.96 15.691 12.730 0.014 31.044 0.412 V
2457258.74837 2015-08-24.2466760 be 1.43 15.824 13.011 0.016 23.965 0.362 V
2457258.74967 2015-08-24.2479787 be 1.44 15.781 12.966 0.016 24.971 0.376 V
2457258.75097 2015-08-24.2492739 be 1.39 15.750 12.983 0.017 24.591 0.387 V
2457267.85113 2015-09-02.3490657 be 1.55 15.601 12.970 0.019 24.877 0.444 V
2457267.85209 2015-09-02.3500243 be 1.49 15.395 12.885 0.022 26.907 0.535 V
2457267.85303 2015-09-02.3509643 be 1.57 15.325 12.903 0.024 26.455 0.571 V
2457269.91576 2015-09-04.4136187 be 1.67 15.484 12.840 0.019 28.040 0.494 V
2457269.91671 2015-09-04.4145665 be 1.54 15.535 12.774 0.017 29.798 0.472 V
2457269.91766 2015-09-04.4155172 be 1.59 15.433 12.930 0.022 25.829 0.517 V
2457273.79583 2015-09-08.2935474 be 1.48 15.844 12.870 0.014 27.281 0.355 V
2457273.79712 2015-09-08.2948365 be 1.48 15.806 12.984 0.016 24.565 0.367 V
2457273.79840 2015-09-08.2961232 be 1.44 15.810 12.879 0.015 27.069 0.365 V
2457276.87032 2015-09-11.3679372 bg 2.00 15.627 12.803 0.016 29.003 0.436 V
2457276.87126 2015-09-11.3688798 bg 2.03 15.572 12.702 0.016 31.828 0.459 V
2457276.87220 2015-09-11.3698168 bg 1.95 15.588 12.720 0.016 31.347 0.451 V
2457277.86117 2015-09-12.3587526 bg 1.65 15.736 12.978 0.017 24.704 0.392 V
2457277.86212 2015-09-12.3597038 bg 1.80 15.781 12.992 0.017 24.390 0.376 V
2457277.86307 2015-09-12.3606574 bg 1.77 15.707 12.979 0.018 24.682 0.403 V
2457278.84388 2015-09-13.3414398 bg 1.37 15.733 13.065 0.019 22.797 0.393 V
