HJD MAG_4 MAG_0 MAG_1 MAG_2 MAG_3 MER_4 MER_0 MER_1 MER_2 MER_3 GRADE FRAME
#2173.76374 5.311 5.848 5.504 5.395 5.328 0.03 0.058 0.032 0.027 0.027 A 33034
#2174.76735 5.226 6.043 5.725 5.477 5.295 0.034 0.053 0.035 0.03 0.032 A 33209
#2174.76735 5.212 5.543 5.324 5.268 5.222 0.034 0.053 0.035 0.03 0.032 A 33209
#2177.74204 5.31 5.682 5.436 5.379 5.321 0.029 0.052 0.034 0.027 0.026 A 33472
#2183.71895 5.351 5.779 5.488 5.419 5.362 0.033 0.055 0.037 0.03 0.03 A 33923
#2185.70739 5.371 5.709 5.477 5.431 5.384 0.03 0.047 0.035 0.028 0.028 A 34297
#2186.74652 5.296 5.355 5.225 5.282 5.295 0.03 0.052 0.042 0.031 0.031 A 34429
#2189.76285 5.284 5.149 5.093 5.2 5.258 0.031 0.055 0.05 0.039 0.037 B 34812
#2190.73046 5.29 5.504 5.327 5.326 5.298 0.027 0.048 0.037 0.027 0.027 A 34979
#2191.73603 5.314 5.688 5.436 5.38 5.327 0.027 0.053 0.036 0.027 0.026 A 35156
#2192.72419 5.634 5.906 5.739 5.7 5.648 0.028 0.052 0.034 0.026 0.026 A 35327
#2193.72614 5.324 5.629 5.39 5.362 5.33 0.026 0.049 0.033 0.025 0.024 A 35509
#2196.72359 5.256 5.51 5.312 5.293 5.262 0.028 0.047 0.036 0.027 0.026 A 35996
#2197.75696 5.348 5.633 5.424 5.396 5.358 0.041 0.053 0.049 0.042 0.041 B 36187
#2198.71292 5.327 5.667 5.435 5.389 5.342 0.026 0.049 0.033 0.025 0.025 A 36347
#2199.70572 5.339 5.695 5.444 5.395 5.35 0.028 0.054 0.038 0.027 0.026 A 36525
#2200.75456 5.308 5.486 5.322 5.336 5.32 0.026 0.046 0.035 0.026 0.025 A 36614
#2201.70483 5.328 5.39 5.267 5.316 5.326 0.027 0.052 0.041 0.029 0.028 A 36772
#2202.71048 5.316 5.519 5.34 5.347 5.329 0.027 0.046 0.036 0.027 0.027 A 36942
#2203.69516 5.243 5.312 5.21 5.247 5.242 0.047 0.059 0.054 0.048 0.048 D 37109
#2204.6972 5.245 5.391 5.235 5.253 5.245 0.032 0.05 0.039 0.03 0.03 A 37237
#2206.69173 5.272 5.454 5.291 5.3 5.279 0.026 0.047 0.037 0.026 0.026 A 37510
#2212.57981 5.352 5.659 5.417 5.386 5.357 0.027 0.049 0.034 0.026 0.026 A 37893
#2213.65417 5.317 5.434 5.29 5.317 5.316 0.028 0.045 0.039 0.029 0.028 A 38095
#2214.66683 5.329 5.442 5.333 5.362 5.347 0.031 0.047 0.038 0.03 0.033 A 38249
#2215.67357 5.316 5.304 5.214 5.287 5.314 0.029 0.047 0.039 0.03 0.033 A 38419
#2217.67901 5.298 5.268 5.193 5.262 5.291 0.028 0.045 0.037 0.028 0.031 A 38757
#2219.65681 5.283 5.041 5.007 5.154 5.251 0.034 0.051 0.045 0.037 0.04 A 38921
#2222.67941 5.263 5.014 4.981 5.137 5.232 0.03 0.045 0.037 0.029 0.033 A 39202
#2224.65659 5.312 5.253 5.174 5.267 5.308 0.03 0.049 0.041 0.031 0.034 A 39355
#2225.66362 5.286 5.339 5.231 5.286 5.289 0.03 0.046 0.038 0.03 0.033 A 39520
#2226.66279 5.284 5.157 5.109 5.214 5.27 0.031 0.046 0.038 0.029 0.034 A 39674
#2227.65337 29.999 29.999 29.999 29.999 29.999 0.027 0.044 0.035 0.027 0.031 C 39823
#2228.65719 5.281 5.011 5.016 5.166 5.257 0.033 0.045 0.04 0.032 0.037 A 39988
#2229.65466 29.999 29.999 29.999 29.999 29.999 0.031 0.046 0.036 0.029 0.033 C 40150
#2230.65261 5.246 5.018 5.001 5.139 5.223 0.028 0.044 0.036 0.027 0.031 A 40314
#2232.6367 5.241 5.047 5.012 5.143 5.217 0.029 0.045 0.039 0.029 0.031 A 40473
#2233.64784 5.236 4.991 4.965 5.118 5.209 0.034 0.045 0.037 0.029 0.036 A 40635
#2234.63771 29.999 29.999 29.999 29.999 29.999 0.034 0.046 0.04 0.031 0.038 C 40790
#2235.63334 5.281 5.36 5.242 5.291 5.289 0.029 0.047 0.037 0.028 0.032 A 40942
#2236.63319 5.261 5.051 5.038 5.169 5.244 0.034 0.045 0.036 0.028 0.035 A 41104
#2241.6305 5.327 5.062 5.068 5.215 5.303 0.035 0.046 0.039 0.031 0.036 A 41736
#2242.62613 29.999 29.999 29.999 29.999 29.999 0.04 0.05 0.042 0.035 0.042 C 41895
#2243.62388 7.118 8.282 8.339 8.123 7.872 0.049 0.058 0.047 0.041 0.05 D 42050
#2244.63561 29.999 29.999 29.999 29.999 29.999 0.041 0.052 0.042 0.036 0.041 C 42178
#2247.61767 29.999 29.999 29.999 29.999 29.999 0.043 0.06 0.046 0.04 0.045 C 42323
#2248.62744 5.128 4.529 4.584 4.84 5.025 0.042 0.056 0.044 0.037 0.044 B 42493
#2250.62053 5.176 4.556 4.595 4.853 5.05 0.041 0.054 0.04 0.034 0.041 A 42847
#2251.62155 5.121 4.451 4.483 4.761 4.987 0.036 0.05 0.04 0.032 0.036 A 43009
#2252.61604 5.523 6.499 6.097 5.887 5.694 0.037 0.053 0.041 0.032 0.038 A 43169
#2252.61604 5.153 4.552 4.614 4.867 5.052 0.037 0.053 0.041 0.032 0.038 A 43169
#2253.61431 5.116 4.42 4.474 4.754 4.983 0.037 0.052 0.04 0.032 0.037 A 43330
#2254.60578 5.117 4.431 4.464 4.753 4.979 0.042 0.056 0.045 0.035 0.044 B 43456
#2255.60323 5.677 7.3 6.68 6.26 5.968 0.042 0.056 0.043 0.034 0.042 A 43613
#2255.60323 5.155 4.493 4.552 4.822 5.027 0.042 0.056 0.043 0.034 0.042 A 43613
#2256.60436 5.137 4.462 4.516 4.791 5.008 0.039 0.061 0.05 0.044 0.044 B 43772
#2258.59621 5.117 4.385 4.426 4.722 4.958 0.043 0.059 0.044 0.036 0.044 B 44092
#2260.59406 5.081 4.361 4.44 4.724 4.935 0.041 0.056 0.042 0.035 0.043 B 44219
#2262.59505 5.047 4.184 4.245 4.57 4.842 0.045 0.068 0.052 0.043 0.048 B 44525
2453.88715 4.639 4.632 4.541 4.605 4.64 0.028 0.034 0.032 0.025 0.026 A 9741
2460.87531 4.667 4.703 4.617 4.654 4.665 0.033 0.039 0.04 0.032 0.033 A 10307
2460.87531 5.07 6.488 6.089 5.692 5.35 0.026 0.039 0.039 0.027 0.028 A 10307
2460.87531 4.675 4.708 4.619 4.656 4.672 0.026 0.039 0.039 0.027 0.028 A 10307
2460.87531 5.062 6.484 6.087 5.689 5.343 0.033 0.039 0.04 0.032 0.033 A 10307
2460.89153 4.694 4.955 4.759 4.729 4.701 0.031 0.039 0.04 0.031 0.031 A 10314
2460.89153 4.706 5.03 4.811 4.761 4.71 0.037 0.044 0.042 0.034 0.036 A 10314
#2465.87086 29.999 29.999 29.999 29.999 29.999 0.03 0.038 0.041 0.034 0.034 C 11162
2467.86102 4.661 4.639 4.53 4.601 4.642 0.022 0.032 0.031 0.022 0.022 A 11595
2470.86222 4.629 4.368 4.364 4.49 4.585 0.025 0.034 0.036 0.028 0.032 A 12095
#2473.8804 4.419 4.114 4.172 4.304 4.391 0.045 0.053 0.051 0.046 0.05 D 12790
2486.84723 5.256 6.73 6.377 5.985 5.6 0.035 0.041 0.036 0.03 0.035 A 13416
2486.84723 4.431 3.673 3.775 4.058 4.284 0.035 0.041 0.036 0.03 0.035 A 13416
2491.82585 4.492 3.944 3.997 4.217 4.366 0.039 0.043 0.043 0.04 0.045 B 14319
2496.89807 4.578 4.348 4.328 4.464 4.549 0.025 0.032 0.033 0.025 0.028 A 15125
#2498.8129 29.999 29.999 29.999 29.999 29.999 0.025 0.04 0.037 0.028 0.028 C 15514
2499.9201 4.64 4.456 4.408 4.525 4.596 0.024 0.033 0.034 0.026 0.027 A 15770
2501.85588 4.584 4.373 4.351 4.476 4.55 0.024 0.037 0.035 0.026 0.028 A 16104
#2502.85295 29.999 29.999 29.999 29.999 29.999 0.027 0.035 0.035 0.029 0.034 C 16316
2508.82529 4.581 4.673 4.577 4.589 4.582 0.038 0.045 0.046 0.037 0.037 A 16871
#2520.79464 29.999 29.999 29.999 29.999 29.999 0.026 0.074 0.058 0.038 0.033 D 18267
2521.83373 4.618 4.673 4.56 4.598 4.609 0.031 0.039 0.037 0.03 0.031 A 18480
2521.83373 4.617 4.678 4.566 4.603 4.611 0.026 0.044 0.037 0.03 0.028 A 18480
2523.82637 4.615 4.609 4.538 4.587 4.603 0.038 0.044 0.042 0.034 0.037 A 18562
#2526.81301 4.687 5.592 5.355 5.05 4.833 0.032 0.068 0.067 0.052 0.04 D 18918
#2526.81301 4.546 4.471 4.439 4.516 4.544 0.032 0.068 0.067 0.052 0.04 D 18918
#2529.75655 4.428 3.918 4.057 4.243 4.36 0.033 0.065 0.057 0.044 0.039 D 19129
2540.74758 5.0 5.353 5.11 5.037 5.002 0.026 0.058 0.031 0.025 0.024 A 19757
#2544.81605 29.999 29.999 29.999 29.999 29.999 0.023 0.032 0.029 0.024 0.024 C 20058
#2549.72565 5.061 6.956 6.343 5.839 5.398 0.036 0.092 0.078 0.058 0.045 D 20815
#2549.74768 5.063 5.786 5.511 5.273 5.09 0.034 0.078 0.059 0.044 0.039 D 20825
#2553.71652 29.999 29.999 29.999 29.999 29.999 0.034 0.047 0.046 0.039 0.039 C 21357
2556.8143 4.536 4.169 4.222 4.378 4.47 0.028 0.036 0.035 0.028 0.032 A 21766
2558.68807 4.656 5.046 4.763 4.701 4.662 0.022 0.045 0.032 0.022 0.021 A 22068
#2559.7485 29.999 29.999 29.999 29.999 29.999 0.028 0.03 0.035 0.026 0.028 C 22275
2560.76796 4.622 4.711 4.573 4.607 4.614 0.026 0.042 0.033 0.025 0.024 A 22461
2561.76094 4.618 4.916 4.651 4.629 4.614 0.03 0.037 0.043 0.028 0.029 A 22607
2561.76094 4.735 5.966 5.561 5.192 4.932 0.03 0.037 0.043 0.028 0.029 A 22607
#2562.75376 4.674 5.129 4.79 4.709 4.672 0.074 0.073 0.072 0.071 0.072 D 22783
2563.75302 4.614 4.84 4.64 4.627 4.607 0.025 0.043 0.032 0.024 0.023 A 22963
#2564.74607 29.999 29.999 29.999 29.999 29.999 0.031 0.047 0.04 0.031 0.033 C 23138
2565.76061 4.706 5.125 4.817 4.752 4.711 0.024 0.028 0.025 0.021 0.022 A 23324
#2568.68849 4.278 3.873 3.998 4.173 4.254 0.06 0.067 0.055 0.049 0.055 D 23622
2577.74087 4.572 4.352 4.361 4.471 4.532 0.025 0.045 0.042 0.03 0.031 A 24820
2620.60325 4.593 4.609 4.492 4.54 4.575 0.023 0.054 0.04 0.028 0.024 A 29455
2622.62069 4.664 4.929 4.713 4.687 4.667 0.025 0.042 0.034 0.023 0.023 A 29959
2624.65986 4.721 5.17 4.837 4.759 4.726 0.024 0.036 0.026 0.023 0.022 A 30260
2627.67152 4.713 5.127 4.822 4.755 4.714 0.023 0.029 0.027 0.022 0.022 A 30585
2629.66851 4.68 5.059 4.766 4.712 4.682 0.024 0.042 0.033 0.025 0.023 A 30885
2634.56298 4.663 4.888 4.671 4.665 4.661 0.021 0.03 0.04 0.025 0.022 A 32045
2636.5897 4.696 5.019 4.775 4.733 4.696 0.022 0.031 0.027 0.021 0.02 A 32360
