HJD MAG_4 MAG_0 MAG_1 MAG_2 MAG_3 MER_4 MER_0 MER_1 MER_2 MER_3 GRADE FRAME
4338.83124 4.556 4.764 4.678 4.633 4.581 0.026 0.04 0.034 0.025 0.025 A 236496
4340.89286 4.759 5.076 4.902 4.828 4.772 0.03 0.047 0.035 0.027 0.027 A 236856
#4343.82331 4.681 4.978 4.794 4.73 4.684 0.054 0.077 0.054 0.049 0.051 D 237341
#4346.82678 4.68 5.037 4.854 4.777 4.694 0.105 0.067 0.072 0.087 0.098 D 237845
4349.82164 4.705 5.089 4.871 4.768 4.721 0.03 0.049 0.034 0.028 0.028 A 238353
4355.80144 4.686 4.857 4.793 4.745 4.705 0.026 0.035 0.032 0.024 0.023 A 239230
4358.80276 4.584 4.829 4.728 4.645 4.606 0.03 0.04 0.036 0.029 0.028 A 239685
4363.79252 4.578 4.714 4.679 4.631 4.598 0.024 0.038 0.033 0.024 0.024 A 240391
4365.79034 4.598 4.797 4.703 4.657 4.611 0.025 0.036 0.03 0.023 0.023 A 240702
4368.75406 4.643 4.86 4.746 4.709 4.656 0.03 0.036 0.033 0.027 0.027 A 241023
4372.79346 4.787 5.087 4.928 4.852 4.794 0.04 0.059 0.041 0.033 0.036 A 241684
4375.80165 4.802 5.112 4.998 4.889 4.821 0.033 0.043 0.032 0.026 0.029 A 242014
4378.74782 4.682 4.973 4.845 4.755 4.692 0.034 0.047 0.035 0.029 0.03 A 242456
4380.80288 4.76 5.041 4.928 4.842 4.78 0.03 0.046 0.036 0.029 0.028 A 242776
4383.7247 4.738 5.075 4.905 4.814 4.753 0.025 0.04 0.031 0.024 0.023 A 243208
4385.77381 4.685 4.893 4.845 4.775 4.719 0.026 0.04 0.036 0.026 0.025 A 243539
4388.71167 4.627 4.8 4.738 4.673 4.64 0.028 0.038 0.035 0.026 0.027 A 243990
4388.71167 4.765 5.549 5.342 5.124 4.909 0.028 0.038 0.035 0.026 0.027 A 243990
4392.73533 4.739 5.063 4.904 4.821 4.752 0.029 0.056 0.037 0.029 0.028 A 244548
4398.73447 4.647 5.042 4.798 4.694 4.648 0.034 0.055 0.036 0.03 0.031 A 244748
4403.76343 4.778 5.21 4.991 4.864 4.796 0.031 0.057 0.039 0.031 0.029 A 245302
4407.75874 4.664 4.967 4.826 4.744 4.678 0.038 0.064 0.042 0.034 0.035 A 245620
#4410.68909 4.612 4.985 4.776 4.684 4.631 0.035 0.124 0.068 0.039 0.034 D 245985
4413.72849 4.635 4.883 4.777 4.705 4.653 0.027 0.041 0.034 0.025 0.025 A 246278
4418.73275 4.692 5.071 4.912 4.793 4.713 0.031 0.045 0.035 0.029 0.029 A 246333
4421.67661 4.784 5.024 4.898 4.842 4.795 0.03 0.076 0.046 0.038 0.028 A 246556
4427.65546 4.831 5.13 4.976 4.899 4.845 0.037 0.045 0.034 0.03 0.032 A 247062
4429.71019 4.758 5.044 4.886 4.835 4.778 0.032 0.04 0.034 0.027 0.029 A 247324
4431.75506 4.779 5.133 4.954 4.852 4.796 0.033 0.041 0.035 0.029 0.03 A 247572
4436.75856 4.604 5.01 4.764 4.657 4.609 0.033 0.073 0.04 0.032 0.032 A 248196
4441.74866 4.667 5.053 4.858 4.746 4.678 0.036 0.07 0.043 0.035 0.034 A 248816
#4444.71955 4.724 5.094 4.917 4.829 4.748 0.033 0.1 0.039 0.032 0.031 D 249113
4452.65351 4.94 5.226 5.059 4.979 4.947 0.045 0.049 0.044 0.043 0.043 B 250023
4457.64278 4.818 5.213 4.993 4.892 4.834 0.037 0.05 0.034 0.03 0.031 A 250568
4459.72461 4.818 5.132 5.002 4.897 4.834 0.042 0.04 0.033 0.032 0.037 A 250838
4462.64931 4.765 5.089 4.934 4.846 4.775 0.028 0.043 0.033 0.025 0.025 A 251180
4464.75919 4.833 5.316 5.11 4.969 4.866 0.029 0.046 0.034 0.027 0.027 A 251453
4469.72774 4.709 5.002 4.869 4.781 4.724 0.035 0.048 0.036 0.031 0.033 A 252009
4473.65902 4.751 5.146 4.904 4.812 4.763 0.033 0.071 0.04 0.032 0.031 A 252371
4476.65131 4.586 4.986 4.753 4.652 4.593 0.036 0.068 0.041 0.035 0.035 A 252648
4478.7051 4.678 5.062 4.811 4.719 4.678 0.042 0.056 0.042 0.039 0.04 B 252900
4484.68983 4.712 5.106 4.852 4.764 4.72 0.038 0.063 0.038 0.031 0.033 A 253495
4487.57301 4.753 5.201 5.019 4.861 4.774 0.032 0.041 0.031 0.027 0.028 A 253803
4489.61087 4.738 5.171 4.879 4.783 4.743 0.033 0.065 0.04 0.03 0.03 A 254054
4491.6582 4.81 5.189 5.041 4.909 4.831 0.03 0.037 0.032 0.025 0.027 A 254284
4494.581 4.705 5.23 4.901 4.797 4.736 0.036 0.071 0.042 0.035 0.035 A 254629
4498.58362 4.689 5.072 4.833 4.734 4.696 0.032 0.066 0.04 0.031 0.03 A 254887
#4501.56506 29.999 29.999 29.999 29.999 29.999 0.042 0.043 0.034 0.032 0.036 C 255261
4503.63245 4.71 5.087 4.9 4.781 4.72 0.033 0.042 0.036 0.032 0.031 A 255564
4506.58024 4.599 5.018 4.767 4.668 4.61 0.036 0.061 0.043 0.035 0.034 A 255975
4508.62928 4.818 5.115 4.968 4.882 4.83 0.041 0.044 0.038 0.036 0.037 A 256278
4511.56339 4.8 5.177 4.956 4.857 4.809 0.033 0.061 0.037 0.029 0.03 A 256661
4515.56508 4.855 5.218 4.99 4.913 4.862 0.041 0.061 0.038 0.034 0.036 A 256994
#4518.54955 29.999 29.999 29.999 29.999 29.999 0.035 0.044 0.034 0.028 0.03 C 257381
4520.59126 4.844 5.175 5.028 4.923 4.859 0.028 0.041 0.03 0.025 0.026 A 257692
4523.53949 4.786 5.184 5.015 4.891 4.809 0.041 0.052 0.036 0.034 0.037 A 258120
4525.57968 4.78 5.102 4.991 4.873 4.801 0.042 0.046 0.037 0.035 0.036 A 258418
4528.55119 4.827 5.217 5.026 4.925 4.851 0.036 0.045 0.031 0.029 0.031 A 258854
#4531.56618 29.999 29.999 29.999 29.999 29.999 0.035 0.046 0.034 0.031 0.032 C 259307
4534.53541 4.795 5.118 5.015 4.889 4.817 0.043 0.043 0.039 0.037 0.039 A 259684
4537.54815 4.634 5.03 4.831 4.688 4.648 0.032 0.044 0.031 0.028 0.029 A 260052
4540.53622 4.695 5.11 4.895 4.771 4.713 0.048 0.046 0.038 0.036 0.04 B 260475
4543.53073 4.803 5.149 5.012 4.886 4.824 0.04 0.037 0.033 0.031 0.035 A 260947
4546.52076 4.84 5.168 4.998 4.902 4.849 0.043 0.044 0.035 0.034 0.038 A 261398
4548.52603 4.653 5.03 4.88 4.74 4.672 0.038 0.039 0.031 0.029 0.033 A 261735
4552.50969 4.744 5.136 4.908 4.81 4.756 0.033 0.036 0.031 0.027 0.029 A 262207
4555.48832 4.812 5.158 4.988 4.881 4.832 0.032 0.045 0.033 0.027 0.028 A 262652
#4561.48831 29.999 29.999 29.999 29.999 29.999 0.034 0.037 0.032 0.028 0.03 C 263647
4564.48075 4.666 4.997 4.798 4.726 4.678 0.034 0.04 0.032 0.029 0.031 A 264144
4628.93901 4.734 4.873 4.822 4.795 4.745 0.033 0.047 0.037 0.029 0.03 A 272980
4633.92965 4.78 5.134 4.944 4.851 4.792 0.038 0.066 0.041 0.034 0.035 A 273851
4645.92247 4.789 5.136 4.978 4.87 4.804 0.034 0.047 0.032 0.028 0.031 A 275153
4649.91098 4.639 5.003 4.822 4.689 4.653 0.038 0.05 0.034 0.031 0.033 A 275774
4655.90115 4.709 5.026 4.884 4.789 4.725 0.032 0.04 0.032 0.027 0.029 A 276818
4661.94508 4.719 5.079 4.934 4.808 4.737 0.029 0.041 0.03 0.025 0.025 A 277536
4664.9039 4.82 5.152 5.062 4.962 4.855 0.029 0.04 0.032 0.027 0.027 A 278020
4672.90537 4.71 4.907 4.814 4.776 4.727 0.03 0.037 0.032 0.027 0.028 A 279170
4676.90291 4.764 5.142 5.001 4.884 4.798 0.033 0.046 0.034 0.028 0.03 A 279566
4683.88303 4.733 4.994 4.919 4.835 4.757 0.025 0.038 0.032 0.024 0.024 A 280613
4686.87296 4.67 5.038 4.909 4.789 4.699 0.031 0.039 0.034 0.03 0.029 A 281127
4693.87113 4.707 4.897 4.853 4.774 4.722 0.036 0.042 0.035 0.029 0.031 A 282088
4697.87936 4.625 4.877 4.788 4.711 4.641 0.026 0.043 0.037 0.025 0.024 A 282507
4700.85789 4.716 5.012 4.881 4.783 4.73 0.027 0.04 0.033 0.026 0.025 A 283048
4703.8779 4.721 5.024 4.877 4.792 4.732 0.036 0.053 0.045 0.037 0.034 A 283569
4707.82442 4.758 5.088 4.949 4.841 4.774 0.03 0.047 0.035 0.03 0.03 A 284088
4715.87402 4.735 4.722 4.74 4.75 4.751 0.026 0.042 0.035 0.026 0.024 A 284708
4719.8331 4.709 4.979 4.833 4.779 4.719 0.032 0.051 0.037 0.028 0.028 A 285017
4721.79279 4.687 5.025 4.905 4.795 4.708 0.031 0.041 0.033 0.028 0.028 A 285314
4727.82788 4.739 5.042 4.947 4.832 4.758 0.033 0.04 0.034 0.027 0.029 A 286039
4730.77498 4.72 5.076 4.882 4.787 4.733 0.03 0.042 0.032 0.026 0.027 A 286493
4733.84128 4.793 5.065 4.989 4.883 4.816 0.028 0.061 0.037 0.028 0.027 A 286843
4737.84404 4.636 4.925 4.809 4.729 4.657 0.026 0.034 0.03 0.023 0.024 A 287145
4740.77929 4.548 4.741 4.666 4.591 4.562 0.028 0.04 0.035 0.026 0.026 A 287487
#4748.7312 99.999 5.086 4.877 4.764 4.715 0.031 0.052 0.034 0.029 0.029 C 288574
#4751.73436 4.555 4.815 4.726 4.62 4.578 0.082 0.053 0.054 0.058 0.068 D 288845
4754.70431 4.654 5.039 4.906 4.759 4.677 0.036 0.044 0.035 0.03 0.032 A 289261
4757.70088 4.861 5.225 5.031 4.941 4.88 0.036 0.069 0.039 0.033 0.033 A 289655
4759.80889 4.676 5.105 4.923 4.791 4.699 0.032 0.052 0.037 0.029 0.029 A 289961
4762.70295 4.657 5.022 4.817 4.718 4.666 0.031 0.059 0.034 0.028 0.028 A 290341
4764.78329 4.717 5.001 4.937 4.814 4.755 0.028 0.04 0.032 0.026 0.026 A 290635
#4767.67866 29.999 29.999 29.999 29.999 29.999 0.026 0.041 0.032 0.025 0.025 C 291029
#4769.8127 99.999 4.998 4.867 4.776 4.716 0.027 0.046 0.032 0.024 0.025 C 291356
4772.66925 4.809 5.195 5.075 4.926 4.848 0.03 0.049 0.04 0.032 0.032 A 291724
4774.71076 4.698 5.03 4.897 4.792 4.716 0.028 0.051 0.034 0.027 0.027 A 291992
4776.76336 4.77 5.048 4.923 4.843 4.786 0.036 0.071 0.047 0.036 0.035 A 292265
4779.63792 4.717 5.063 4.916 4.813 4.736 0.031 0.04 0.031 0.027 0.027 A 292630
4782.70021 4.772 5.15 4.914 4.83 4.782 0.042 0.056 0.037 0.033 0.037 A 292912
4784.81325 4.64 5.013 4.791 4.701 4.649 0.03 0.038 0.031 0.025 0.026 A 293184
4787.75901 4.702 5.048 4.841 4.756 4.714 0.039 0.058 0.037 0.031 0.034 A 293523
4793.65983 4.793 5.169 4.952 4.865 4.803 0.043 0.055 0.037 0.036 0.038 A 294187
4796.6508 4.864 5.293 5.07 4.948 4.883 0.042 0.063 0.037 0.033 0.037 A 294513
4801.67348 4.726 5.14 4.943 4.82 4.744 0.031 0.053 0.035 0.028 0.028 A 295105
4803.73058 4.803 5.206 5.014 4.89 4.819 0.028 0.052 0.035 0.026 0.025 A 295394
4806.61565 4.682 5.122 4.953 4.809 4.703 0.029 0.038 0.031 0.025 0.025 A 295729
4808.66501 4.772 5.245 4.981 4.843 4.784 0.031 0.058 0.034 0.028 0.028 A 296014
4810.66022 4.844 5.224 5.059 4.917 4.866 0.052 0.045 0.039 0.039 0.045 B 296275
4813.66529 4.644 5.059 4.826 4.713 4.656 0.041 0.065 0.04 0.033 0.036 A 296559
#4815.75359 29.999 29.999 29.999 29.999 29.999 0.044 0.076 0.046 0.039 0.04 C 296837
4819.59155 4.754 5.074 4.88 4.821 4.771 0.035 0.043 0.033 0.029 0.031 A 297209
4821.72711 4.733 5.121 4.875 4.787 4.745 0.034 0.072 0.041 0.032 0.032 A 297507
4824.62907 4.806 5.199 4.978 4.877 4.821 0.04 0.066 0.042 0.036 0.038 A 297878
4827.62353 4.692 5.05 4.861 4.755 4.699 0.033 0.058 0.037 0.03 0.03 A 298243
4829.68921 4.707 5.084 4.92 4.804 4.719 0.031 0.057 0.036 0.028 0.028 A 298531
4834.63864 4.708 5.184 4.968 4.83 4.733 0.033 0.052 0.036 0.03 0.031 A 299143
4836.7011 4.728 5.139 4.867 4.783 4.739 0.039 0.06 0.037 0.032 0.034 A 299401
4839.59362 4.751 5.138 4.921 4.822 4.764 0.04 0.066 0.04 0.034 0.037 A 299767
4844.64232 4.821 5.232 4.989 4.891 4.836 0.045 0.064 0.041 0.036 0.039 B 300343
4847.64066 4.758 5.277 5.0 4.838 4.774 0.044 0.065 0.039 0.035 0.038 A 300678
4849.68817 4.871 5.327 5.063 4.947 4.883 0.038 0.072 0.041 0.035 0.036 A 300947
#4852.61481 4.801 5.257 5.047 4.884 4.822 0.038 0.083 0.053 0.047 0.047 D 301304
4855.62792 4.775 5.173 4.918 4.83 4.791 0.042 0.072 0.043 0.037 0.039 A 301559
4858.63676 4.754 5.172 4.945 4.834 4.766 0.029 0.05 0.035 0.028 0.028 A 301906
4862.56697 4.725 5.137 4.853 4.769 4.731 0.046 0.084 0.049 0.042 0.042 B 302280
4867.60777 4.869 5.273 5.062 4.952 4.882 0.043 0.051 0.036 0.034 0.037 A 302894
4870.61638 4.831 5.181 4.995 4.901 4.843 0.033 0.049 0.032 0.029 0.03 A 303243
#4872.63711 29.999 29.999 29.999 29.999 29.999 0.045 0.069 0.042 0.037 0.041 C 303538
#4875.63084 4.752 5.169 4.919 4.811 4.763 0.069 0.082 0.052 0.052 0.06 D 303834
4879.53861 4.852 5.199 5.011 4.907 4.859 0.038 0.061 0.039 0.033 0.035 A 304237
4882.54239 4.631 5.063 4.766 4.675 4.638 0.047 0.088 0.049 0.044 0.045 B 304643
4894.57286 4.829 5.179 4.988 4.9 4.847 0.051 0.066 0.044 0.04 0.044 B 306071
#4899.50828 4.95 5.316 5.072 4.993 4.957 0.061 0.082 0.052 0.048 0.055 D 306456
#4903.51615 4.801 5.184 4.927 4.842 4.808 0.056 0.089 0.053 0.049 0.052 D 307027
#4906.5282 4.775 5.184 4.909 4.825 4.787 0.053 0.074 0.05 0.046 0.048 D 307477
#4914.49387 4.842 5.267 5.017 4.915 4.858 0.049 0.098 0.048 0.04 0.05 D 308083
4917.49932 4.818 5.164 4.974 4.884 4.831 0.043 0.048 0.037 0.035 0.038 A 308530
4920.50295 4.923 5.279 5.085 5.004 4.94 0.053 0.041 0.037 0.038 0.045 B 308969
#4925.47927 4.782 5.156 4.92 4.836 4.793 0.061 0.072 0.049 0.046 0.053 D 309309
#4929.47943 4.869 5.298 5.069 4.94 4.887 0.06 0.07 0.048 0.048 0.052 D 309631
#4933.47674 4.756 5.169 4.979 4.851 4.773 0.064 0.052 0.047 0.049 0.057 D 310189
#4987.93868 4.773 5.205 4.998 4.867 4.786 0.061 0.056 0.045 0.044 0.052 D 316878
4992.93976 4.786 5.189 4.99 4.882 4.806 0.051 0.06 0.051 0.041 0.045 B 317524
#5008.94391 4.513 4.741 4.577 4.534 4.519 0.108 0.069 0.066 0.075 0.09 D 318427
5012.94446 4.751 4.946 4.907 4.825 4.769 0.047 0.057 0.045 0.038 0.04 B 318915
#5017.94025 4.594 4.848 4.744 4.657 4.604 0.113 0.066 0.064 0.074 0.093 D 319693
5021.90407 4.734 4.948 4.913 4.821 4.762 0.045 0.047 0.042 0.036 0.038 B 320327
5024.90796 4.636 4.772 4.731 4.697 4.654 0.05 0.046 0.042 0.039 0.043 B 320909
#5037.92686 29.999 29.999 29.999 29.999 29.999 0.061 0.052 0.054 0.051 0.057 D 321763
5041.86183 4.698 5.038 4.869 4.775 4.717 0.039 0.041 0.038 0.031 0.034 A 322457
#5047.93255 4.664 4.913 4.81 4.732 4.683 0.055 0.046 0.043 0.042 0.047 D 322968
5055.93351 4.748 5.014 4.889 4.806 4.758 0.048 0.041 0.038 0.035 0.041 B 323363
5063.8707 4.516 4.553 4.537 4.555 4.526 0.042 0.049 0.044 0.037 0.038 A 324020
5070.85637 4.647 5.127 4.867 4.736 4.662 0.051 0.063 0.045 0.04 0.044 B 324933
5074.86331 4.631 4.893 4.821 4.699 4.656 0.045 0.052 0.047 0.041 0.041 B 325318
5084.80822 4.554 4.466 4.481 4.548 4.559 0.041 0.056 0.047 0.038 0.038 A 326225
5087.81061 4.591 4.818 4.783 4.671 4.626 0.035 0.044 0.039 0.032 0.032 A 326743
5093.79187 4.754 5.068 4.895 4.818 4.768 0.049 0.049 0.043 0.039 0.042 B 327706
5101.85111 4.558 4.692 4.659 4.619 4.572 0.038 0.047 0.042 0.035 0.034 A 328261
5110.7338 4.737 4.974 4.871 4.811 4.754 0.043 0.041 0.039 0.034 0.038 A 329356
#5112.84029 4.652 5.088 4.843 4.723 4.665 0.06 0.065 0.058 0.047 0.052 D 329643
#5120.81137 29.999 29.999 29.999 29.999 29.999 0.046 0.052 0.046 0.04 0.042 C 330408
5123.71289 4.55 4.809 4.716 4.61 4.566 0.049 0.046 0.046 0.044 0.045 B 330765
#5126.69605 4.783 5.128 4.972 4.839 4.784 0.083 0.07 0.062 0.061 0.07 D 331164
5129.67614 4.74 5.049 4.92 4.809 4.75 0.046 0.059 0.044 0.04 0.043 B 331476
5131.75124 4.765 5.109 4.959 4.842 4.788 0.043 0.043 0.038 0.034 0.038 A 331774
5135.75219 4.774 5.131 5.003 4.849 4.795 0.048 0.047 0.041 0.037 0.041 B 331990
#5137.75798 4.745 5.03 4.886 4.804 4.758 0.058 0.05 0.046 0.044 0.05 D 332259
5144.7827 4.757 5.005 4.942 4.852 4.78 0.051 0.051 0.046 0.04 0.044 B 332849
#5148.67562 29.999 29.999 29.999 29.999 29.999 0.06 0.056 0.048 0.048 0.053 D 333191
#5154.66584 4.628 4.964 4.782 4.699 4.643 0.06 0.054 0.05 0.049 0.052 D 333365
#5159.655 29.999 29.999 29.999 29.999 29.999 0.044 0.072 0.045 0.038 0.041 C 333934
5162.65814 4.763 5.141 4.929 4.826 4.773 0.052 0.052 0.042 0.04 0.045 B 334205
5164.74439 4.677 5.042 4.848 4.739 4.688 0.05 0.073 0.046 0.041 0.044 B 334470
#5167.7049 4.797 5.178 4.938 4.857 4.81 0.064 0.079 0.052 0.05 0.057 D 334836
