hjd camera mag mag_err flux flux_err
2458186.53078 bg 4.975 0.02 39245.589 722.119
2458001.78738 bg 4.743 0.02 48603.614 894.306
2457681.71016 bg 4.577 0.02 56615.647 1041.728
#2457318.5745 bg 0.0 99.99 -3063.528 55.315
2457968.8045 bg 4.795 0.02 46355.833 852.947
#2457189.92906 be 4.812 0.02 37161.32 683.768
#2457252.8323 be 4.868 0.02 35290.839 649.351
2457917.94569 bg 4.782 0.02 46881.644 862.622
2457762.6616 bg 4.704 0.02 50376.204 926.922
2458008.6937 bg 4.939 0.02 40567.112 746.435
2457421.6448 bg 5.969 0.02 15711.794 289.097
2457629.72871 bg 4.638 0.02 53526.357 984.885
2457377.66857 bg 5.817 0.02 18068.821 332.466
2457302.66489 bg 5.91 0.02 16586.907 305.199
2457332.77173 bg 5.852 0.02 17509.2 322.169
2457724.68013 bg 4.624 0.02 54223.291 997.709
#2456974.84301 be 4.783 0.02 38167.649 702.285
2458034.64959 bg 4.797 0.02 46247.749 850.959
#2456850.88203 be 4.859 0.02 35586.531 654.792
2457735.76885 bg 4.69 0.02 51018.53 938.741
2457336.74833 bg 5.879 0.02 17069.848 314.085
#2457273.79589 be 4.856 0.02 35673.459 656.392
2457660.65384 bg 4.626 0.02 54136.814 996.117
2457656.8291 bg 4.531 0.02 59062.857 1086.757
2457712.71379 bg 4.64 0.02 53445.854 983.404
2457361.71868 bg 5.873 0.02 17175.15 316.023
2458384.66822 bg 5.665 0.02 20783.962 382.425
#2457423.64172 bg 0.0 99.99 -3982.682 56.239
2457429.61842 bg 5.952 0.02 15970.048 293.849
2458094.68607 bg 4.788 0.02 46629.803 857.988
2457659.66143 bg 4.614 0.02 54728.168 1006.998
2458069.66255 bg 4.727 0.02 49333.066 907.728
2458191.52254 bg 5.003 0.02 38251.223 703.822
2457577.87087 bg 4.585 0.02 56207.673 1034.221
2457786.5668 bg 4.685 0.02 51299.425 943.909
2458358.7644 bg 5.846 0.02 17606.844 323.966
2458193.51672 bg 4.95 0.02 40163.006 738.999
#2457039.57923 be 4.772 0.02 38545.399 709.235
2457937.92873 bg 4.794 0.02 46372.042 853.246
2457427.62466 bg 6.014 0.02 15072.274 277.33
2457667.73269 bg 4.584 0.02 56290.385 1035.743
#2457277.8613 bg 7.448 0.02 4026.226 74.083
2457438.58948 bg 5.966 0.02 15753.799 289.87
2457816.55376 bg 4.725 0.02 49425.609 909.431
#2457278.84402 bg 7.668 0.02 3287.744 60.494
2457466.50736 bg 5.039 0.02 37000.384 680.807
2457982.86264 bg 4.726 0.02 49374.614 908.493
2457698.65956 bg 4.539 0.02 58672.13 1079.567
2458037.78429 bg 4.841 0.02 44410.573 817.155
2457327.55807 bg 6.021 0.02 14981.006 275.651
2458329.81681 bg 6.381 0.02 10751.184 197.822
2457970.79406 bg 4.795 0.02 46346.479 852.775
2458053.69042 bg 4.735 0.02 48973.134 901.106
2457568.89781 bg 4.552 0.02 57964.011 1066.538
2457318.74895 bg 5.876 0.02 17122.593 315.056
2457379.59759 bg 5.79 0.02 18525.364 340.867
#2457000.62917 be 4.754 0.02 39199.67 721.274
2457799.57726 bg 4.737 0.02 48876.544 899.328
2457555.94918 bg 4.706 0.02 50316.152 925.817
2457684.76374 bg 4.706 0.02 50282.654 925.201
2457638.78002 bg 4.564 0.02 57312.15 1054.544
2457794.62168 bg 4.765 0.02 47639.992 876.576
2457651.72167 bg 4.576 0.02 56706.814 1043.405
#2457006.61767 be 4.715 0.02 40600.86 747.056
2458067.66974 bg 4.831 0.02 44816.292 824.62
2457643.87712 bg 4.58 0.02 56471.91 1039.083
2457461.52248 bg 6.001 0.02 15261.036 280.803
#2457222.84973 be 4.87 0.02 35215.751 647.97
2457744.66409 bg 4.655 0.02 52719.099 970.031
2458028.64808 bg 4.823 0.02 45159.092 830.927
2457444.53942 bg 5.969 0.02 15716.322 289.18
2458192.51756 bg 4.956 0.02 39962.822 735.316
2457655.65971 bg 4.611 0.02 54904.0 1010.234
#2457017.61085 be 4.833 0.02 36436.74 670.436
#2456848.8774 be 4.785 0.02 38071.673 700.519
2458319.84393 bg 5.902 0.02 16713.418 307.527
2457943.86653 bg 4.832 0.02 44792.419 824.181
2457985.81834 bg 4.803 0.02 45983.877 846.103
2457385.74734 bg 5.987 0.02 15453.54 284.345
2457297.80593 bg 5.803 0.02 18304.094 336.795
2458176.54357 bg 4.931 0.02 40879.58 752.184
2458172.55842 bg 5.006 0.02 38163.472 702.208
2457764.59496 bg 4.638 0.02 53554.668 985.406
#2457097.51909 be 5.528 0.02 19217.54 353.603
#2457033.5809 be 4.769 0.02 38636.839 710.918
2457980.76764 bg 4.783 0.02 46869.048 862.39
2458170.57986 bg 4.947 0.02 40279.858 741.149
2457355.61692 bg 5.835 0.02 17779.013 327.134
2457315.59681 bg 5.978 0.02 15590.343 286.862
2457758.68667 bg 4.69 0.02 51028.864 938.931
2458005.75992 bg 4.749 0.02 48342.171 889.496
2457311.68494 bg 5.884 0.02 16993.163 312.674
#2457020.60722 be 4.814 0.02 37083.332 682.333
2457338.51188 bg 6.046 0.02 14633.937 269.264
2457354.80542 bg 5.951 0.02 15980.652 294.044
2457979.80879 bg 4.726 0.02 49396.734 908.9
2458010.69015 bg 4.799 0.02 46162.772 849.395
2458313.828 bg 5.091 0.02 35273.076 649.025
2457782.6205 bg 4.772 0.02 47332.292 870.914
2457465.49988 bg 4.602 0.02 55330.515 1018.081
2457434.59991 bg 6.024 0.02 14944.229 274.974
2457403.69698 bg 5.966 0.02 15755.61 289.903
#2457267.85118 be 5.656 0.02 17078.235 314.24
2457945.87525 bg 4.757 0.02 47987.893 882.977
2457747.5389 bg 4.643 0.02 53296.661 980.659
2457043.5814 be 4.903 0.02 34165.139 628.639
2458018.74446 bg 4.766 0.02 47599.959 875.839
2457408.57644 bg 5.907 0.02 16644.876 306.266
2457775.67512 bg 4.848 0.02 44131.941 812.028
2458096.6178 bg 4.744 0.02 48552.466 893.365
2457557.92147 bg 4.571 0.02 56936.706 1047.635
